n,comps_QS,swaps_QS,comps_MS,swaps_MS,comps_HS,swaps_HS
13300,169059,43122,165589,366232,324048,170569
13400,165197,44171,166874,369232,326850,172165
13500,165729,44364,168432,372232,329588,173503
13600,168078,44485,169807,375232,332310,174939
13700,170512,44885,171270,378232,334988,176378
13800,168390,45470,172596,381232,337514,177684
13900,175032,45393,173981,384232,340438,179320
14000,178886,46036,175309,387232,343040,180589
14100,192824,45869,176768,390232,345758,182029
14200,166158,47135,178143,393232,348510,183563
14300,179664,47104,179543,396232,351230,184938
14400,173888,47525,180810,399232,354012,186340
14500,172862,48109,182412,402232,356526,187658
14600,180275,48229,183639,405232,359144,189047
14700,185737,48559,185053,408232,361918,190460
14800,186076,48991,186301,411232,364816,191908
14900,178561,49449,188026,414232,367578,193530
15000,201313,49250,189366,417232,370234,194868
15100,196369,49596,190712,420232,372894,196230
15200,213244,49430,191979,423232,375994,197939
15300,187548,51185,193362,426232,378404,199110
15400,193550,51020,194917,429232,381260,200608
15500,189551,51484,196183,432232,384082,202163
15600,208641,51220,197668,435232,386932,203607
15700,212795,51637,199081,438232,389708,205079
15800,200629,52655,200513,441232,392188,206344
15900,220469,51972,201914,444232,394912,207709
16000,198958,53542,203257,447232,397586,209064
16100,202424,53888,204765,450232,400338,210570
16200,226550,53392,206214,453232,403276,212115
16300,205333,54410,207537,456232,405872,213534
16400,214022,54765,208814,459264,408694,215092
16500,218535,54461,210575,462464,411474,216504
16600,222251,54968,211684,465664,414338,218040
16700,209157,55770,213258,468864,417022,219342
16800,221913,55927,214623,472064,419966,220874
16900,202816,57113,216210,475264,422614,222301
17000,215521,56696,217602,478464,425502,223740
17100,232602,56906,218986,481664,428388,225270
17200,222871,57820,220410,484864,431094,226762
17300,236838,57664,221806,488064,433758,228069
17400,231394,57798,223289,491264,436658,229563
17500,268316,57150,224741,494464,439574,231066
17600,233145,58958,226331,497664,442460,232638
17700,227913,59276,227693,500864,445340,234188
17800,255699,58906,229075,504064,448082,235589
17900,239253,60059,230625,507264,450608,236933
18000,233828,60405,231836,510464,453878,238601
18100,233063,60942,233343,513664,456656,240121
18200,254739,60841,234803,516864,459384,241500
18300,261937,60643,236223,520064,462254,242952
18400,236367,62073,237588,523264,464814,244337
18500,275883,61215,239119,526464,467924,245992
18600,245750,62615,240722,529664,470920,247403
18700,265605,62939,242043,532864,473496,248982
18800,257257,62837,243524,536064,476106,250222
18900,273270,62927,244960,539264,479540,252021
19000,299447,62438,246227,542464,482070,253341
19100,266471,64336,247806,545664,484944,254834
19200,268145,64513,249279,548864,487730,256330
19300,262372,64976,250917,552064,490580,257859
19400,280565,64962,252186,555264,493696,259467
19500,260596,65656,253570,558464,496210,260750
19600,280229,66167,255052,561664,499260,262500
19700,278565,66184,256492,564864,502300,264010
19800,265469,67319,258024,568064,505024,265271
19900,283515,66758,259382,571264,507936,266834
20000,277579,67316,260886,574464,510780,268285
20100,287268,67150,262318,577664,513342,269673
20200,308760,67024,263700,580864,516644,271475
20300,260673,69199,265237,584064,519228,272686
20400,268388,69720,266693,587264,522190,274256
20500,293599,69432,268081,590464,525076,275819
20600,298081,68985,269572,593664,527966,277337
20700,294377,69944,271142,596864,530672,278863
20800,293403,70109,272644,600064,533636,280362
20900,286666,71451,273981,603264,536534,281752
21000,296422,71078,275432,606464,539356,283251
21100,296160,71245,276937,609664,542310,284836
